Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0340,19.572285352845196,Valid
TST-0319,29.35279369823355,Valid
TST-0064,18.955735409923278,Valid
TST-0259,28.510596128511818,Valid
TST-0066,43.961694973577266,Valid
TST-0123,47.84573249096191,Valid
TST-0218,20.727999491055943,Valid
TST-0261,23.885831200228907,Valid
TST-0196,20.745324832632726,Valid
TST-0281,27.968472047113135,Invalid
TST-0303,36.49444796822178,Valid
TST-0254,22.937304067425636,Valid
TST-0322,18.17318549284416,Valid
TST-0139,17.30058688644134,Valid
TST-0257,35.957347959921535,Valid
TST-0033,16.70059243041181,Valid
TST-0112,49.197109471790135,Valid
TST-0021,25.061219336932208,Valid
TST-0083,18.21062515080698,Valid
TST-0150,25.245485345456938,Valid
TST-0265,24.20376535014316,Valid
TST-0227,35.736287959901475,Valid
TST-0170,25.44520475160815,Valid
TST-0318,31.424808458808453,Valid
TST-0097,16.508319955687895,Valid
TST-0152,34.806489057217036,Valid
TST-0084,59.44433986507592,Valid
TST-0124,16.9490874282436,Valid
TST-0098,33.486049156086246,Valid
TST-0341,30.263053208275217,Valid
TST-0042,31.787469938447895,Valid
TST-0189,19.555529558033577,Valid
TST-0285,22.75616190325103,Valid
TST-0020,22.211053972034282,Valid
TST-0314,47.98255013064149,Valid
